name,year,population,gdp_percap,life_exp
Afghanistan,1800,328e4,603,28.21
Afghanistan,1801,328e4,603,28.2
Afghanistan,1802,328e4,603,28.19
Afghanistan,1803,328e4,603,28.18
Afghanistan,1804,328e4,603,28.17
Afghanistan,1805,328e4,603,28.16
Afghanistan,1806,328e4,603,28.15
Afghanistan,1807,328e4,603,28.14
Afghanistan,1808,328e4,603,28.13
Afghanistan,1809,328e4,603,28.12
Afghanistan,1810,328e4,604,28.11
Afghanistan,1811,3280779,604,28.1
Afghanistan,1812,3282342,604,28.09
Afghanistan,1813,3284692,604,28.08
Afghanistan,1814,3287834,604,28.07
Afghanistan,1815,3291770,604,28.06
Afghanistan,1816,3296506,604,28.05
Afghanistan,1817,3302044,604,28.04
Afghanistan,1818,3308390,604,28.03
Afghanistan,1819,3315547,604,28.02
Afghanistan,1820,3323519,604,28.01
Afghanistan,1821,3332311,607,28
Afghanistan,1822,3341926,609,27.99
Afghanistan,1823,3352368,611,27.98
Afghanistan,1824,3363642,613,27.97
Afghanistan,1825,3375751,615,27.95
Afghanistan,1826,3388701,617,27.94
Afghanistan,1827,3402494,619,27.93
Afghanistan,1828,3417136,621,27.92
Afghanistan,1829,3432630,623,27.91
Afghanistan,1830,3448982,625,27.9
Afghanistan,1831,3466194,627,27.89
Afghanistan,1832,3483492,630,27.88
Afghanistan,1833,3500877,632,27.87
Afghanistan,1834,3518348,634,27.86
Afghanistan,1835,3535906,636,27.85
Afghanistan,1836,3553552,638,27.84
Afghanistan,1837,3571286,640,27.83
Afghanistan,1838,3589109,643,27.82
Afghanistan,1839,3607021,645,27.81
Afghanistan,1840,3625022,647,27.8
Afghanistan,1841,3643112,649,27.79
Afghanistan,1842,3661294,651,27.78
Afghanistan,1843,3679565,654,27.77
Afghanistan,1844,3697928,656,27.76
Afghanistan,1845,3716383,658,27.75
Afghanistan,1846,3734930,660,27.74
Afghanistan,1847,3753569,663,27.73
Afghanistan,1848,3772301,665,27.72
Afghanistan,1849,3791127,667,27.71
Afghanistan,1850,3810047,669,27.7
Afghanistan,1851,3826140,672,27.69
Afghanistan,1852,3842299,674,27.68
Afghanistan,1853,3858524,676,27.67
Afghanistan,1854,3874815,678,27.66
Afghanistan,1855,3891173,681,27.65
Afghanistan,1856,3907598,683,27.64
Afghanistan,1857,3924089,685,27.63
Afghanistan,1858,3940648,688,27.62
Afghanistan,1859,3957274,690,27.61
Afghanistan,1860,3973968,692,27.6
Afghanistan,1861,3991172,695,27.59
Afghanistan,1862,4008889,697,27.58
Afghanistan,1863,4027125,699,27.57
Afghanistan,1864,4045883,702,27.56
Afghanistan,1865,4065170,704,27.54
Afghanistan,1866,4084989,707,27.53
Afghanistan,1867,4105346,709,27.52
Afghanistan,1868,4126245,711,27.51
Afghanistan,1869,4147692,714,27.5
Afghanistan,1870,4169690,716,27.49
Afghanistan,1871,4192245,719,27.55
Afghanistan,1872,4215362,721,27.61
Afghanistan,1873,4236341,724,27.66
Afghanistan,1874,4260730,726,27.72
Afghanistan,1875,4285744,729,27.78
Afghanistan,1876,4311388,731,27.84
Afghanistan,1877,4336107,734,27.9
Afghanistan,1878,4363439,736,27.96
Afghanistan,1879,4391478,739,28.01
Afghanistan,1880,4419695,741,28.07
Afghanistan,1881,4447479,744,28.13
Afghanistan,1882,4476050,746,28.19
Afghanistan,1883,4504802,749,28.24
Afghanistan,1884,4533190,751,28.3
Afghanistan,1885,4562304,754,28.36
Afghanistan,1886,4591602,756,28.42
Afghanistan,1887,4620608,759,28.48
Afghanistan,1888,4650274,761,28.53
Afghanistan,1889,4680128,764,28.59
Afghanistan,1890,4710171,767,28.65
Afghanistan,1891,4740404,769,28.71
Afghanistan,1892,4770828,772,28.76
Afghanistan,1893,4801444,774,28.82
Afghanistan,1894,4832253,777,28.88
Afghanistan,1895,4863258,780,28.93
Afghanistan,1896,4894458,782,28.99
Afghanistan,1897,4925855,785,29.05
Afghanistan,1898,4957450,788,29.11
Afghanistan,1899,4989245,790,29.16
Afghanistan,1900,5021241,793,29.22
Afghanistan,1901,5053439,796,29.28
Afghanistan,1902,5085403,798,29.33
Afghanistan,1903,5118005,801,29.39
Afghanistan,1904,5150814,804,29.45
Afghanistan,1905,5183829,807,29.5
Afghanistan,1906,5217053,809,29.55
Afghanistan,1907,5249854,812,29.61
Afghanistan,1908,5283495,815,29.66
Afghanistan,1909,5317347,818,29.72
Afghanistan,1910,5351413,820,29.77
Afghanistan,1911,5385509,823,29.83
Afghanistan,1912,5420004,826,29.89
Afghanistan,1913,5459010,829,29.94
Afghanistan,1914,5502589,833,30
Afghanistan,1915,5550805,837,30.06
Afghanistan,1916,5599440,841,30.11
Afghanistan,1917,5648497,845,30.17
Afghanistan,1918,5704092,849,7.89
Afghanistan,1919,5758692,853,30.28
Afghanistan,1920,5813814,857,30.34
Afghanistan,1921,5869464,863,30.39
Afghanistan,1922,5925647,868,30.45
Afghanistan,1923,5982368,874,30.5
Afghanistan,1924,6039631,880,30.56
Afghanistan,1925,6097443,885,30.61
Afghanistan,1926,6155808,891,30.67
Afghanistan,1927,6214731,897,30.73
Afghanistan,1928,6274219,903,30.78
Afghanistan,1929,6334276,909,30.84
Afghanistan,1930,6394908,915,30.89
Afghanistan,1931,6456120,921,30.95
Afghanistan,1932,6517918,927,31
Afghanistan,1933,6580308,933,31.06
Afghanistan,1934,6643295,939,31.11
Afghanistan,1935,6706885,945,31.17
Afghanistan,1936,6771083,951,31.22
Afghanistan,1937,6835896,957,31.28
